time,node_id,chain_length
4.071222214805697,4,1
8.437974777332716,0,1
10.036598085707528,4,2
10.923288056158698,4,3
11.492330840037425,2,1
12.826458967349243,0,2
15.184822814056673,1,1
17.264746637741325,1,2
17.618096182602038,0,3
21.629509408010048,0,4
21.962268540314238,2,2
22.811097136284808,3,1
22.946348753721086,1,3
25.51197598640455,0,5
26.211508549855,1,4
26.788766897754947,1,5
28.616068763105464,2,3
29.940861039016184,0,6
30.74496982585399,3,2
31.96536155942137,3,3
35.14055345127654,2,4
35.60844896944889,3,4
49.72798036725841,4,4
51.56631519566304,2,5
51.85117750389239,2,6
52.25678378934455,3,5
53.152700585359966,3,6
55.202545688991066,3,7
56.01939000405601,1,6
56.41740639676191,0,7
57.82711162452991,1,7
58.29546003276281,3,8
59.810664995343735,1,8
62.945235749925075,1,9
65.30539501298648,3,9
65.38904394312594,4,5
68.89073445350444,4,6
68.99249216712234,3,10
73.49510206992797,2,7
79.67989283025685,3,11
83.86159059434007,0,8
84.17182127165191,4,7
84.63864464237476,4,8
84.81586650204915,3,12
90.24702365744426,2,8
90.6605994198046,2,9
91.55566964672444,2,10
92.21681990448158,0,9
94.41469884768867,0,10
95.41796041327369,2,11
96.29010476864808,0,11
97.45896839610151,2,12
99.59662074807748,2,13
